Rank,Name,Team,Position,Opponent,Matchup_Grade,Edge_Score,Hidden_Score,Research_Score,Contextual_Score,Final_Score,Outlook,Live_Injury_Status,Top_Factor_1,Top_Factor_2,Bye_Week,ADP_Diff
22,Jordan Addison,MIN,WR,HOU,65.9,64.13,64.99,55.06,52.48,70.6,NEUTRAL,Healthy,coach_fit (66),matchup (66),8,-2.9
23,Jordan Mason,SF,RB,LA,52.5,56.95,53.19,63.32,60.86,69.9,PLAY,Healthy,surface (83),environment (83),9,-2.7
24,J.J. Taylor,HOU,RB,MIN,73.0,42.12,67.44,56.2,62.04,69.72,PLAY,Healthy,environment (83),matchup (73),10,-2.5
25,James Conner,ARI,RB,DET,43.7,61.28,61.57,50.77,58.09,69.71,NEUTRAL,Questionable,environment (83),surface (75),11,-2.4
26,D'Andre Swift,CHI,RB,IND,41.4,63.05,69.71,51.72,49.95,69.68,NEUTRAL,Healthy,environment (83),referee (50),12,-2.2
27,Jaxon Smith-Njigba,SEA,WR,MIA,85.3,60.8,69.58,41.49,56.73,69.51,NEUTRAL,Out,matchup (85),coach_fit (66),13,-2.1
28,Malik Nabers,NYG,WR,CLE,100.0,60.56,56.27,50.78,62.47,69.5,PLAY,Healthy,matchup (100),surface (75),14,-1.9
29,James Robinson,NO,RB,PHI,100.0,40.8,57.72,60.38,67.97,69.44,PLAY,Healthy,matchup (100),environment (83),1,-1.8
30,Matthew Stafford,LA,QB,SF,69.7,61.65,52.39,60.48,59.43,69.33,NEUTRAL,Healthy,coach_fit (95),matchup (70),2,-1.6
31,Calvin Ridley,TEN,WR,GB,83.9,70.92,65.0,50.91,48.79,69.21,NEUTRAL,Healthy,matchup (84),referee (50),3,-1.5
32,Sam Ehlinger,IND,QB,CHI,100.0,62.24,55.89,42.04,66.1,69.21,PLAY,Questionable,matchup (100),coach_fit (95),4,-1.3
33,Jason Bean,IND,QB,CHI,100.0,62.24,55.89,42.04,66.1,69.21,PLAY,Healthy,matchup (100),coach_fit (95),5,-1.2
34,Nick Bawden,HOU,RB,MIN,73.0,48.74,61.33,56.37,62.04,69.12,PLAY,Out,environment (83),matchup (73),6,-1.1
35,Bucky Irving,TB,RB,DEN,52.8,64.99,59.18,49.12,57.58,68.9,NEUTRAL,Healthy,environment (83),coach_fit (66),7,-0.9
36,James Cook,BUF,RB,JAX,30.6,58.53,67.04,58.62,49.19,68.24,NEUTRAL,Healthy,environment (83),coach_fit (66),8,-0.8
37,Puka Nacua,LA,WR,SF,35.3,61.75,69.83,60.48,43.94,68.18,FADE,Healthy,surface (83),referee (50),9,-0.6
38,Devon Achane,MIA,RB,SEA,54.6,65.16,60.07,48.89,55.49,67.84,NEUTRAL,Healthy,environment (83),coach_fit (66),10,-0.4
39,Clyde Edwards-Helaire,NO,RB,PHI,100.0,38.86,54.38,62.92,67.97,67.57,PLAY,Questionable,matchup (100),environment (83),11,-0.3
40,Trey Sermon,IND,RB,CHI,45.3,50.17,59.78,63.54,55.93,67.14,NEUTRAL,Healthy,environment (83),coach_fit (66),12,-0.1
41,Rome Odunze,CHI,WR,IND,75.4,72.08,55.37,47.81,54.57,67.02,NEUTRAL,Out,matchup (75),coach_fit (66),13,0.0
42,Evan Hull,IND,RB,CHI,45.3,48.77,62.09,61.39,55.93,67.02,NEUTRAL,Healthy,environment (83),coach_fit (66),14,0.1
43,Anthony Richardson,IND,QB,CHI,100.0,63.79,53.74,37.89,66.1,66.91,PLAY,Healthy,matchup (100),coach_fit (95),1,0.3
44,Joe Flacco,IND,QB,CHI,100.0,60.59,53.7,46.11,63.6,66.9,PLAY,Healthy,matchup (100),coach_fit (95),2,0.4
45,Trevor Siemian,TEN,QB,GB,52.3,62.8,55.89,50.48,58.1,66.86,NEUTRAL,Healthy,coach_fit (95),surface (75),3,0.6
46,Javonte Williams,DEN,RB,TB,63.3,49.35,60.19,55.45,59.89,66.7,NEUTRAL,Questionable,environment (83),coach_fit (66),4,0.8
47,Ja'Marr Chase,CIN,WR,WAS,33.1,71.04,69.34,47.4,43.76,66.64,FADE,Healthy,prime_time (75),coach_fit (66),5,0.9
48,Justin Herbert,LAC,QB,PIT,87.8,56.69,52.86,51.38,63.42,66.63,PLAY,Out,coach_fit (95),matchup (88),6,1.1
49,Keenan Allen,CHI,WR,IND,53.1,70.41,58.25,47.01,52.98,66.46,NEUTRAL,Healthy,surface (83),coach_fit (66),7,1.2
50,La'Mical Perine,PIT,RB,LAC,64.3,45.51,59.76,63.85,57.62,66.4,NEUTRAL,Healthy,environment (83),coach_fit (66),8,1.3
51,British Brooks,HOU,RB,MIN,42.7,48.74,69.37,50.19,55.36,66.39,NEUTRAL,Healthy,environment (83),coach_fit (66),9,1.5
52,Cody Schrader,LA,RB,SF,33.9,46.5,69.42,56.06,53.44,66.34,NEUTRAL,Healthy,environment (83),coach_fit (66),10,1.6
53,Jameson Williams,DET,WR,ARI,76.5,58.19,67.58,52.14,49.67,66.11,NEUTRAL,Questionable,matchup (76),referee (50),11,1.8
54,Julius Chestnut,TEN,RB,GB,63.3,44.15,57.02,64.16,59.89,65.97,NEUTRAL,Healthy,environment (83),coach_fit (66),12,1.9
55,Drake London,ATL,WR,KC,61.3,60.35,70.24,45.18,49.65,65.85,NEUTRAL,Out,surface (83),matchup (61),13,2.1
56,Tyreek Hill,MIA,WR,SEA,60.5,70.65,64.47,52.94,43.64,65.68,FADE,Healthy,matchup (60),referee (50),14,2.2
57,Jayden Reed,GB,WR,TEN,93.6,52.33,63.2,56.91,53.44,65.59,NEUTRAL,Healthy,matchup (94),referee (50),1,2.4
58,Jaylen Warren,PIT,RB,LAC,64.3,44.18,59.76,58.51,60.12,65.5,PLAY,Healthy,environment (83),coach_fit (66),2,2.5
59,Blake Corum,LA,RB,SF,33.9,44.88,66.94,59.37,53.44,65.46,NEUTRAL,Healthy,environment (83),coach_fit (66),3,2.7
60,Alec Ingold,MIA,RB,SEA,54.6,45.14,55.14,67.93,57.99,65.39,NEUTRAL,Questionable,environment (83),coach_fit (66),4,2.9
61,Jameis Winston,CLE,QB,NYG,62.7,57.24,53.05,52.93,60.39,65.33,PLAY,Healthy,coach_fit (95),surface (75),5,3.0
62,Kevin Harris,NE,RB,NYJ,52.0,46.37,57.72,57.3,60.73,65.24,PLAY,Out,surface (83),environment (83),6,3.1
63,Derrick Henry,BAL,RB,DAL,57.8,52.12,60.47,55.12,56.19,65.2,NEUTRAL,Healthy,environment (83),coach_fit (66),7,3.3
64,Casey Bauman,LAC,QB,PIT,87.8,56.1,57.0,42.04,63.42,65.04,PLAY,Healthy,coach_fit (95),matchup (88),8,3.4
65,Luis Perez,LAC,QB,PIT,87.8,56.1,57.0,42.04,63.42,65.04,PLAY,Healthy,coach_fit (95),matchup (88),9,3.6
66,Max Duggan,LAC,QB,PIT,87.8,56.1,57.0,42.04,63.42,65.04,PLAY,Healthy,coach_fit (95),matchup (88),10,3.8
67,Adam Prentice,NO,RB,PHI,100.0,38.3,54.97,56.48,67.97,65.03,PLAY,Questionable,matchup (100),environment (83),11,3.9
68,Hunter Luepke,DAL,RB,BAL,67.7,40.77,59.52,69.53,55.74,64.99,NEUTRAL,Healthy,environment (83),matchup (68),12,4.0
69,Jamaal Williams,NO,RB,PHI,100.0,42.22,48.52,61.44,67.97,64.95,PLAY,Out,matchup (100),environment (83),13,4.2
70,Trey Lance,DAL,QB,BAL,65.0,55.21,55.3,48.25,61.73,64.86,PLAY,Healthy,coach_fit (95),surface (83),14,4.3
71,Roschon Johnson,CHI,RB,IND,41.4,56.69,61.86,58.66,49.95,64.85,NEUTRAL,Healthy,environment (83),referee (50),1,4.5
72,Easton Stick,LAC,QB,PIT,87.8,56.1,57.0,36.8,65.92,64.78,PLAY,Healthy,coach_fit (95),matchup (88),2,4.6
73,Jerry Jeudy,CLE,WR,NYG,63.4,67.0,59.83,41.51,54.42,64.7,NEUTRAL,Healthy,surface (75),coach_fit (66),3,4.8
74,Jahmyr Gibbs,DET,RB,ARI,37.4,61.36,61.44,45.82,54.2,64.69,NEUTRAL,Questionable,environment (83),coach_fit (66),4,5.0
75,Dresser Winn,LA,QB,SF,69.7,62.09,56.84,42.04,59.43,64.66,NEUTRAL,Healthy,coach_fit (95),matchup (70),5,5.1
76,Stetson Bennett,LA,QB,SF,69.7,62.09,56.84,42.04,59.43,64.66,NEUTRAL,Out,coach_fit (95),matchup (70),6,5.2
77,Dillon Johnson,CAR,RB,LV,100.0,40.82,62.09,42.04,67.97,64.57,PLAY,Healthy,matchup (100),environment (83),7,5.4
78,Emani Bailey,CAR,RB,LV,100.0,40.82,62.09,42.04,67.97,64.57,PLAY,Healthy,matchup (100),environment (83),8,5.5
79,Jaden Shirden,CAR,RB,LV,100.0,40.82,62.09,42.04,67.97,64.57,PLAY,Healthy,matchup (100),environment (83),9,5.7
80,Brian Thomas,JAX,WR,BUF,49.2,72.31,64.7,38.18,48.79,64.44,NEUTRAL,Healthy,coach_fit (66),referee (50),10,5.8
