overall_rank,player_name,position,recent_team,projected_ppg,projected_ppg_std,projected_ppg_half_ppr,projected_ppg_ppr,projected_ppg_superflex,reliability_tier,situation_score,career_seasons,tier,live_status,age,data_basis,draft_value_score,draft_value_score_std,draft_value_score_half_ppr,draft_value_score_ppr,avg_receptions_per_game,avg_targets_per_game,avg_carries_per_game,Injury_Flag,consensus_adp,adp_diff,consensus_adp_overall,consensus_adp_positional,our_positional_rank,adp_diff_positional,adp_diff_overall,adp_signal
91,Woody Marks,RB,HOU,10.0,,10.0,,10.0,UNPROVEN,64.9,0,Flex,,,sleeper_roster+adp_prior,,,,,,,,,142.2,51.19999999999999,142.2,45.0,36,9.0,51.19999999999999,BUY
92,Jordan Mason,RB,MIN,10.0,,10.0,,10.0,UNPROVEN,51.4,1,Flex,,27.3,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [adp_ecr_floor:10.0],,,,,,,,,113.8,21.799999999999997,113.8,40.0,37,3.0,21.799999999999997,BUY
93,Rachaad White,RB,WAS,10.0,,10.0,,10.0,UNPROVEN,63.1,1,RB3,,27.6,2024_only*0.85+rel[UNPROVEN*0.92] [adp_ecr_floor:10.0],,,,,,,,,120.9,27.900000000000006,120.9,41.0,38,3.0,27.900000000000006,BUY
94,Blake Corum,RB,LAR,10.0,,10.0,,10.0,UNPROVEN,54.8,1,RB3,,25.8,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [adp_ecr_floor:10.0],,,,,,,,,121.0,27.0,121.0,42.0,39,3.0,27.0,BUY
95,Isiah Pacheco,RB,DET,10.0,,10.0,,10.0,UNPROVEN,54.1,1,Flex,,27.5,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [adp_ecr_floor:10.0],,,,,,,,,154.6,59.599999999999994,154.6,51.0,40,11.0,59.599999999999994,BUY
96,Jonathon Brooks,RB,CAR,10.0,,10.0,,10.0,UNPROVEN,57.2,0,RB3,,23.1,adp_market_floor+rel[UNPROVEN*0.92] [adp_ecr_floor:10.0],,,,,,,,,90.3,-5.700000000000003,90.3,34.0,41,-7.0,-5.700000000000003,FADE
111,Tyler Allgeier,RB,ARI,8.5,,8.5,,8.5,UNPROVEN,55.6,1,Flex,,26.4,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [adp_ecr_floor:8.5],,,,,,,,,155.5,44.5,155.5,53.0,42,11.0,44.5,BUY
112,Tyjae Spears,RB,TEN,8.5,,8.5,,8.5,UNPROVEN,46.9,1,Flex,,25.2,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [adp_ecr_floor:8.5],,,,,,,,,141.1,29.099999999999994,141.1,44.0,43,1.0,29.099999999999994,NEUTRAL
113,Kimani Vidal,RB,LAC,8.5,,8.5,,8.5,UNPROVEN,49.5,1,Flex,,25.0,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92] [adp_ecr_floor:8.5],,,,,,,,,,,,,44,,,UNKNOWN
114,Keaton Mitchell,RB,LAC,8.5,,8.5,,8.5,UNPROVEN,41.5,0,Flex,,24.6,adp_market_floor+rel[UNPROVEN*0.92] [adp_ecr_floor:8.5],,,,,,,,,166.9,52.900000000000006,166.9,60.0,45,15.0,52.900000000000006,BUY
116,Brian Robinson,RB,ATL,8.23,,8.23,,8.23,UNPROVEN,62.3,1,Flex,,27.4,2024_only*0.85+rel[UNPROVEN*0.92],,,,,,,,,160.6,44.599999999999994,160.6,58.0,46,12.0,44.599999999999994,BUY
123,Najee Harris,RB,NYG,7.75,,7.75,,7.75,UNPROVEN,66.3,1,Flex,,28.5,2024_only*0.85+rel[UNPROVEN*0.92],,,,,,,,,,,,,47,,,UNKNOWN
128,Aaron Jones,RB,MIN,7.32,,7.32,,7.32,UNPROVEN,63.4,1,Flex,,31.7,2024_only*0.85+starter_floor_soft+rel[UNPROVEN*0.92],,,,,,,,,,,,,48,,,UNKNOWN
