Rank,Name,Team,Position,Opponent,Matchup_Grade,Edge_Score,Hidden_Score,Research_Score,Contextual_Score,Final_Score,Outlook,Live_Injury_Status,Top_Factor_1,Top_Factor_2,Bye_Week,ADP_Diff
31,Calvin Ridley,TEN,WR,GB,83.5,70.92,65.0,50.91,48.79,68.81,NEUTRAL,Healthy,matchup (84),referee (50),3,-1.5
32,Sam Ehlinger,IND,QB,CHI,99.6,62.24,55.89,42.04,66.1,68.81,PLAY,Healthy,matchup (100),coach_fit (95),4,-1.3
33,Jason Bean,IND,QB,CHI,99.6,62.24,55.89,42.04,66.1,68.81,PLAY,Healthy,matchup (100),coach_fit (95),5,-1.2
34,Nick Bawden,HOU,RB,MIN,72.6,48.74,61.33,56.37,62.04,68.72,PLAY,Healthy,environment (83),matchup (73),6,-1.1
35,Bucky Irving,TB,RB,DEN,52.4,64.99,59.18,49.12,57.58,68.5,NEUTRAL,Healthy,environment (83),coach_fit (66),7,-0.9
36,James Cook,BUF,RB,JAX,30.2,58.53,67.04,58.62,49.19,67.84,NEUTRAL,Healthy,environment (83),coach_fit (66),8,-0.8
37,Puka Nacua,LA,WR,SF,34.9,61.75,69.83,60.48,43.94,67.78,FADE,Healthy,surface (83),referee (50),9,-0.6
38,Devon Achane,MIA,RB,SEA,54.2,65.16,60.07,48.89,55.49,67.44,NEUTRAL,Healthy,environment (83),coach_fit (66),10,-0.4
39,Clyde Edwards-Helaire,NO,RB,PHI,99.6,38.86,54.38,62.92,67.97,67.17,PLAY,Healthy,matchup (100),environment (83),11,-0.3
40,Trey Sermon,IND,RB,CHI,44.9,50.17,59.78,63.54,55.93,66.74,NEUTRAL,Healthy,environment (83),coach_fit (66),12,-0.1
41,Rome Odunze,CHI,WR,IND,75.0,72.08,55.37,47.81,54.57,66.62,NEUTRAL,Healthy,matchup (75),coach_fit (66),13,0.0
42,Evan Hull,IND,RB,CHI,44.9,48.77,62.09,61.39,55.93,66.62,NEUTRAL,Healthy,environment (83),coach_fit (66),14,0.1
43,Anthony Richardson,IND,QB,CHI,99.6,63.79,53.74,37.89,66.1,66.51,PLAY,Healthy,matchup (100),coach_fit (95),1,0.3
44,Joe Flacco,IND,QB,CHI,99.6,60.59,53.7,46.11,63.6,66.5,PLAY,Healthy,matchup (100),coach_fit (95),2,0.4
45,Trevor Siemian,TEN,QB,GB,51.9,62.8,55.89,50.48,58.1,66.46,NEUTRAL,Healthy,coach_fit (95),surface (75),3,0.6
46,Javonte Williams,DEN,RB,TB,62.9,49.35,60.19,55.45,59.89,66.3,NEUTRAL,Healthy,environment (83),coach_fit (66),4,0.8
47,Ja'Marr Chase,CIN,WR,WAS,32.7,71.04,69.34,47.4,43.76,66.24,FADE,Healthy,prime_time (75),coach_fit (66),5,0.9
48,Justin Herbert,LAC,QB,PIT,87.4,56.69,52.86,51.38,63.42,66.23,PLAY,Healthy,coach_fit (95),matchup (88),6,1.1
49,Keenan Allen,CHI,WR,IND,52.7,70.41,58.25,47.01,52.98,66.06,NEUTRAL,Healthy,surface (83),coach_fit (66),7,1.2
50,La'Mical Perine,PIT,RB,LAC,63.9,45.51,59.76,63.85,57.62,66.0,NEUTRAL,Healthy,environment (83),coach_fit (66),8,1.3
51,British Brooks,HOU,RB,MIN,42.3,48.74,69.37,50.19,55.36,65.99,NEUTRAL,Healthy,environment (83),coach_fit (66),9,1.5
52,Cody Schrader,LA,RB,SF,33.5,46.5,69.42,56.06,53.44,65.94,NEUTRAL,Healthy,environment (83),coach_fit (66),10,1.6
53,Jameson Williams,DET,WR,ARI,76.1,58.19,67.58,52.14,49.67,65.71,NEUTRAL,Healthy,matchup (76),referee (50),11,1.8
54,Julius Chestnut,TEN,RB,GB,62.9,44.15,57.02,64.16,59.89,65.57,NEUTRAL,Healthy,environment (83),coach_fit (66),12,1.9
55,Drake London,ATL,WR,KC,60.9,60.35,70.24,45.18,49.65,65.45,NEUTRAL,Healthy,surface (83),matchup (61),13,2.1
56,Tyreek Hill,MIA,WR,SEA,60.1,70.65,64.47,52.94,43.64,65.28,FADE,Healthy,matchup (60),referee (50),14,2.2
57,Jayden Reed,GB,WR,TEN,93.2,52.33,63.2,56.91,53.44,65.19,NEUTRAL,Healthy,matchup (94),referee (50),1,2.4
58,Jaylen Warren,PIT,RB,LAC,63.9,44.18,59.76,58.51,60.12,65.1,PLAY,Healthy,environment (83),coach_fit (66),2,2.5
59,Blake Corum,LA,RB,SF,33.5,44.88,66.94,59.37,53.44,65.06,NEUTRAL,Healthy,environment (83),coach_fit (66),3,2.7
60,Alec Ingold,MIA,RB,SEA,54.2,45.14,55.14,67.93,57.99,64.99,NEUTRAL,Healthy,environment (83),coach_fit (66),4,2.9
61,Jameis Winston,CLE,QB,NYG,62.3,57.24,53.05,52.93,60.39,64.93,PLAY,Healthy,coach_fit (95),surface (75),5,3.0
62,Kevin Harris,NE,RB,NYJ,51.6,46.37,57.72,57.3,60.73,64.84,PLAY,Healthy,surface (83),environment (83),6,3.1
63,Derrick Henry,BAL,RB,DAL,57.4,52.12,60.47,55.12,56.19,64.8,NEUTRAL,Healthy,environment (83),coach_fit (66),7,3.3
64,Casey Bauman,LAC,QB,PIT,87.4,56.1,57.0,42.04,63.42,64.64,PLAY,Healthy,coach_fit (95),matchup (88),8,3.4
65,Luis Perez,LAC,QB,PIT,87.4,56.1,57.0,42.04,63.42,64.64,PLAY,Healthy,coach_fit (95),matchup (88),9,3.6
66,Max Duggan,LAC,QB,PIT,87.4,56.1,57.0,42.04,63.42,64.64,PLAY,Healthy,coach_fit (95),matchup (88),10,3.8
67,Adam Prentice,NO,RB,PHI,99.6,38.3,54.97,56.48,67.97,64.63,PLAY,Healthy,matchup (100),environment (83),11,3.9
68,Hunter Luepke,DAL,RB,BAL,67.3,40.77,59.52,69.53,55.74,64.59,NEUTRAL,Healthy,environment (83),matchup (68),12,4.0
69,Jamaal Williams,NO,RB,PHI,99.6,42.22,48.52,61.44,67.97,64.55,PLAY,Healthy,matchup (100),environment (83),13,4.2
70,Trey Lance,DAL,QB,BAL,64.6,55.21,55.3,48.25,61.73,64.46,PLAY,Healthy,coach_fit (95),surface (83),14,4.3
71,Roschon Johnson,CHI,RB,IND,41.0,56.69,61.86,58.66,49.95,64.45,NEUTRAL,Healthy,environment (83),referee (50),1,4.5
72,Easton Stick,LAC,QB,PIT,87.4,56.1,57.0,36.8,65.92,64.38,PLAY,Healthy,coach_fit (95),matchup (88),2,4.6
73,Jerry Jeudy,CLE,WR,NYG,63.0,67.0,59.83,41.51,54.42,64.3,NEUTRAL,Healthy,surface (75),coach_fit (66),3,4.8
74,Jahmyr Gibbs,DET,RB,ARI,37.0,61.36,61.44,45.82,54.2,64.29,NEUTRAL,Healthy,environment (83),coach_fit (66),4,5.0
75,Dresser Winn,LA,QB,SF,69.3,62.09,56.84,42.04,59.43,64.26,NEUTRAL,Healthy,coach_fit (95),matchup (70),5,5.1
76,Stetson Bennett,LA,QB,SF,69.3,62.09,56.84,42.04,59.43,64.26,NEUTRAL,Healthy,coach_fit (95),matchup (70),6,5.2
77,Dillon Johnson,CAR,RB,LV,99.6,40.82,62.09,42.04,67.97,64.17,PLAY,Healthy,matchup (100),environment (83),7,5.4
78,Emani Bailey,CAR,RB,LV,99.6,40.82,62.09,42.04,67.97,64.17,PLAY,Healthy,matchup (100),environment (83),8,5.5
79,Jaden Shirden,CAR,RB,LV,99.6,40.82,62.09,42.04,67.97,64.17,PLAY,Healthy,matchup (100),environment (83),9,5.7
80,Brian Thomas,JAX,WR,BUF,48.8,72.31,64.7,38.18,48.79,64.04,NEUTRAL,Healthy,coach_fit (66),referee (50),10,5.8
